id,url,authors,headline,date
10,https://www.theverge.com/2023/4/4/23670193/spotify-live-shut-down-obamas-audible-amazon-jay-shetty-iheart,Ariel Shapiro,ows how the live audio boom has gone ,"Tue, 04 Apr 2023 20:45:00 GMT"
11,https://www.theverge.com/2023/4/4/23669875/asus-rog-ally-handheld-gaming-pc-announcement,Jay Peters,nced its handheld gaming PC in the worst way poss,"Tue, 04 Apr 2023 19:30:09 GMT"
12,https://www.theverge.com/2023/4/4/23669682/overwatch-2-new-hero-lifeweaver,Ash Parrish,2’s new hero Lifeweaver puts down roots in seas,"Tue, 04 Apr 2023 18:01:43 GMT"
13,https://www.theverge.com/2023/4/4/23669743/barbie-movie-trailer-teaser-2,Andrew Webster,Barbie in the new Barbie movie tra,"Tue, 04 Apr 2023 16:25:11 GMT"
14,https://www.theverge.com/2023/4/4/23669641/pokemon-stadium-n64-nintendo-switch-online-release-date,Jay Peters,adium is coming to Nintendo Switch Online next week — but with a c,"Tue, 04 Apr 2023 16:02:52 GMT"
15,https://www.theverge.com/2023/4/4/23669668/microsoft-surface-thunderbolt-4-dock-specs-pricing-features,Tom Warren,announces $299.99 Surface Thunderbolt 4 Dock that connects via U,"Tue, 04 Apr 2023 15:52:03 GMT"
16,https://www.theverge.com/2023/4/4/23669557/disney-florida-ron-desantis-investigation-campaign-election,Makena Kelly,in a land war with the state of Flo,"Tue, 04 Apr 2023 14:43:43 GMT"
17,https://www.theverge.com/2023/4/4/23669523/gm-apple-carplay-android-auto-ev-restrict-access,Patrick George,hates GM’s decision to kill Apple CarPlay and Android Auto for its,"Tue, 04 Apr 2023 14:33:03 GMT"
18,https://www.theverge.com/2023/4/4/23669463/silicon-valley-bank-collapse-brex-ceo-henrique-dubugras-banking-crisis-fintech,Nilay Patel,"ilicon Valley Bank melt down from the front row, with Brex CEO Henrique Dubu","Tue, 04 Apr 2023 14:02:59 GMT"
19,https://www.theverge.com/2023/4/4/23668459/titmouse-5-second-night-interviews,The Verge,w Titmouse’s animators brought their 5 Second Night short films to ,"Tue, 04 Apr 2023 14:00:34 GMT"
20,https://www.theverge.com/2023/4/4/23669383/walmart-website-redesign-amazon,Emma Roth,redesigned website looks better than Am,"Tue, 04 Apr 2023 13:50:51 GMT"
21,https://www.theverge.com/2023/4/4/23669405/apple-weather-app-down-iphone-issues-problems,Tom Warren,ather app on iPhone is down for ,"Tue, 04 Apr 2023 13:02:21 GMT"
22,https://www.theverge.com/2023/4/4/23668722/elon-musk-twitter-blue-checkmark-verified,Elizabeth Lopatto,s obsession with blue checks is a verified pro,"Tue, 04 Apr 2023 12:00:00 GMT"
23,https://www.theverge.com/2023/4/4/23668770/motorola-edge-40-pro-specs-screen-battery-camera-price,Allison Johnson,s getting serious with the Edge 40,"Tue, 04 Apr 2023 11:00:00 GMT"
24,https://www.theverge.com/2023/4/4/23668235/spider-man-across-the-spider-verse-trailer-2-new-suit,Charles Pulliam-Moore,wants a piece of Miles in Spider-Man: Across the Spider-Verse’s latest tra,"Tue, 04 Apr 2023 07:42:17 GMT"
25,https://www.theverge.com/2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,Richard Lawler,"OG Ally handheld gaming PC is real, not an April Fools’ ","Mon, 03 Apr 2023 23:00:20 GMT"
26,https://www.theverge.com/2023/4/3/23668356/twitter-doge-bird-logo-retweet-labels-following-timeline,Mitchell Clark,"witter: where are the retweet labels, and why did Doge replace the b","Mon, 03 Apr 2023 22:34:17 GMT"
27,https://www.theverge.com/2023/4/3/23665293/cfcs-air-conditioning-refrigerants-ozone-depleting-chemicals-surprise-comeback,Justine Calma,banned from air conditioners and refrigerators are making a comeback — and scientists don’t know,"Mon, 03 Apr 2023 15:41:12 GMT"
28,https://www.theverge.com/2023/4/3/23667793/gm-carplay-android-auto-ford-volvo-honda-response,Andrew J. Hawkins,f the auto industry still loves CarPlay and Android ,"Mon, 03 Apr 2023 12:17:59 GMT"
29,https://www.theverge.com/2023/4/3/23667751/twitter-legacy-blue-checkmark-wind-down-chaos,Jon Porter,d a very messy wee,"Mon, 03 Apr 2023 09:31:57 GMT"
30,https://www.theverge.com/2023/4/2/23659934/apple-music-classical-metadata-is-good,Alex Cranz,more music apps be like Apple Music Classi,"Sun, 02 Apr 2023 15:00:00 GMT"
31,https://www.theverge.com/2023/4/2/23666795/western-digital-xbox-storage-expansion-card,Tom Warren,ox expandable storage cards are on the,"Sun, 02 Apr 2023 13:05:55 GMT"
32,https://www.theverge.com/2023/4/2/23662863/super73-adventure-e-bikes-k1d-kids-price-specs,Thomas Ricker,unches Adventure Series and first e-bike for danger ba,"Sun, 02 Apr 2023 06:38:36 GMT"
33,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,s’ Day 2023: the best and cringiest pr,"Sat, 01 Apr 2023 17:37:25 GMT"
34,https://www.theverge.com/good-deals/2023/4/1/23665082/google-pixel-6a-sony-wf-1000xm4-earbuds-amazon-echo-ipad-mini-deal-sale,"Brandon Widder,Antonio G. Di Benedetto", iPad Mini and Google’s Pixel 6A top our favorite deals of the ,"Sat, 01 Apr 2023 15:22:52 GMT"
