id,url,authors,headline,date
10,https://www.theverge.com/2023/4/4/23668235/spider-man-across-the-spider-verse-trailer-2-new-suit,['Charles Pulliam-Moore'],Everybody wants a piece of Miles in Spider-Man: Across the Spider-Verse’s latest trailer,2023/04/04
11,https://www.theverge.com/2023/4/3/23667971/google-drive-5-million-files-limit-storage,['Emma Roth'],Google Drive quietly introduced (then pulled) a file creation limit for all users,2023/04/04
12,https://www.theverge.com/2023/4/3/23668889/apple-corporate-layoffs-retail-big-tech-cuts,['Mitchell Clark'],Apple has reportedly started a small number of corporate layoffs,2023/04/03
13,https://www.theverge.com/2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,['Richard Lawler'],"The Asus ROG Ally handheld gaming PC is real, not an April Fools’ joke",2023/04/03
14,https://www.theverge.com/2023/4/3/23668356/twitter-doge-bird-logo-retweet-labels-following-timeline,['Mitchell Clark'],"Today in Twitter: where are the retweet labels, and why did Doge replace the bird?",2023/04/03
15,https://www.theverge.com/22399419/apple-macbook-air-pro-mac-mini-imac-deals,['Antonio G. Di Benedetto'],The best deals on MacBooks right now,2023/04/03
16,https://www.theverge.com/2023/4/3/23668643/hulu-interface-side-bar-redesign,['Mitchell Clark'],Hulu’s redesigning its unintuitive interface,2023/04/03
17,https://www.theverge.com/2023/4/3/23668308/google-flights-price-guarantee-ticket-price-change,['Mitchell Clark'],Google Flights’ price guarantee could pay you back if your tickets get cheaper,2023/04/03
18,https://www.theverge.com/23568091/matter-compatible-devices-accessories-apple-amazon-google-samsung,['Jennifer Pattison Tuohy'],Which devices work with Matter and what's coming soon,2023/04/03
19,https://www.theverge.com/2023/4/3/23668568/activision-blizzard-doj-antitrust-suit-overwatch-league,['Ash Parrish'],Activision settles with Justice Department for limiting esports players’ salaries,2023/04/03
